a.word,a.wordcount,d.word,d.wordcount
NULL,NULL,candy,5
canif,1,NULL,NULL
NULL,NULL,canine,4
NULL,NULL,canniness,1
NULL,NULL,canny,1
NULL,NULL,canon,1
NULL,NULL,canvas,1
capable,1,NULL,NULL
NULL,NULL,cape,2
capet,1,NULL,NULL
NULL,NULL,capital,2
NULL,NULL,capstan,1
NULL,NULL,captains,1
NULL,NULL,capture,2
NULL,NULL,carafe,2
NULL,NULL,cardinal,1
NULL,NULL,career,1
NULL,NULL,caresses,1
caressing,1,NULL,NULL
carew,2,NULL,NULL
NULL,NULL,carfax,23
NULL,NULL,cargo,5
NULL,NULL,caricaturists,1
carlyle,1,NULL,NULL
carmichael,48,NULL,NULL
NULL,NULL,carnal,2
NULL,NULL,carnival,1
NULL,NULL,carnivora,1
NULL,NULL,carpathian,2
NULL,NULL,carpathians,9
NULL,NULL,carpenter,1
NULL,NULL,carriages,2
NULL,NULL,carrier,1
NULL,NULL,carriers,5
NULL,NULL,carrion,1
carrisford,48,NULL,NULL
carrrisford,1,NULL,NULL
NULL,NULL,cart,18
NULL,NULL,carter,5
NULL,NULL,cartload,1
carven,1,NULL,NULL
NULL,NULL,carving,1
NULL,NULL,casabianca,1
NULL,NULL,casement,1
NULL,NULL,casements,1
NULL,NULL,cases,9
NULL,NULL,cashed,1
NULL,NULL,casing,1
NULL,NULL,casino,1
NULL,NULL,cassova,1
NULL,NULL,castles,2
NULL,NULL,casually,1
NULL,NULL,casualties,1
NULL,NULL,catagory,1
catastrophes,1,NULL,NULL
NULL,NULL,cathedral,3
NULL,NULL,catherine,17
NULL,NULL,cattle,2
NULL,NULL,causa,1
NULL,NULL,cause,49
NULL,NULL,causes,4
causing,2,NULL,NULL
NULL,NULL,cautioned,1
NULL,NULL,caverns,1
caves,1,NULL,NULL
NULL,NULL,cawing,2
NULL,NULL,ceaselessly,1
NULL,NULL,ceases,2
NULL,NULL,ceasing,1
cecil,1,NULL,NULL
ceiling,2,NULL,NULL
ceilings,1,NULL,NULL
NULL,NULL,celebrate,1
celebrated,1,NULL,NULL
NULL,NULL,celerity,1
NULL,NULL,census,1
NULL,NULL,centaur,1
NULL,NULL,center,3
NULL,NULL,centered,2
centerpiece,1,NULL,NULL
NULL,NULL,central,2
NULL,NULL,centre,3
NULL,NULL,centres,1
NULL,NULL,centrifugal,1
NULL,NULL,centripetal,1
NULL,NULL,century,8
cept,1,NULL,NULL
NULL,NULL,cerebral,2
NULL,NULL,cerebration,2
NULL,NULL,cerements,1
ceremoniously,1,NULL,NULL
NULL,NULL,certainty,2
NULL,NULL,certificate,3
NULL,NULL,certify,1
NULL,NULL,certing,1
NULL,NULL,cessation,1
cette,1,NULL,NULL
NULL,NULL,chaff,1
NULL,NULL,chaffin,1
NULL,NULL,chafing,1
NULL,NULL,chafts,1
NULL,NULL,chagrin,1
NULL,NULL,chain,3
NULL,NULL,chained,1
NULL,NULL,chains,8
NULL,NULL,chalkily,1
NULL,NULL,chambers,2
NULL,NULL,champ,1
NULL,NULL,champed,1
NULL,NULL,champing,2
NULL,NULL,championing,1
chanced,7,NULL,NULL
NULL,NULL,changing,2
NULL,NULL,channel,1
NULL,NULL,chap,3
NULL,NULL,chapel,18
NULL,NULL,chapelle,1
NULL,NULL,chaplain,2
NULL,NULL,chaplet,1
chapter,1,NULL,NULL
NULL,NULL,characteristic,1
NULL,NULL,characteristics,1
characters,1,NULL,NULL
NULL,NULL,charcot,2
NULL,NULL,charing,1
charitable,1,NULL,NULL
charity,5,NULL,NULL
charmingly,1,NULL,NULL
NULL,NULL,charring,1
NULL,NULL,charter,1
NULL,NULL,chasing,1
NULL,NULL,chasm,1
chastising,1,NULL,NULL
NULL,NULL,chat,3
chateau,1,NULL,NULL
chatelaine,1,NULL,NULL
chatelaines,1,NULL,NULL
NULL,NULL,chatham,1
NULL,NULL,chatted,2
chattered,1,NULL,NULL
NULL,NULL,chatting,1
NULL,NULL,cheap,1
cheated,1,NULL,NULL
NULL,NULL,check,4
NULL,NULL,cheese,1
NULL,NULL,chemical,1
NULL,NULL,cheques,1
NULL,NULL,chermosese,1
NULL,NULL,cherry,1
NULL,NULL,chess,1
NULL,NULL,chests,2
NULL,NULL,chew,1
NULL,NULL,chick,1
NULL,NULL,chicken,4
NULL,NULL,chicksand,1
NULL,NULL,chiefest,1
NULL,NULL,chiefly,1
childhood,1,NULL,NULL
childishly,1,NULL,NULL
childlike,1,NULL,NULL
NULL,NULL,chilling,1
chilly,1,NULL,NULL
chimneys,3,NULL,NULL
NULL,NULL,china,3
chinee,2,NULL,NULL
chinese,1,NULL,NULL
NULL,NULL,chink,1
NULL,NULL,chinks,3
chirped,2,NULL,NULL
NULL,NULL,chirping,1
chirrup,1,NULL,NULL
NULL,NULL,chivalrous,1
NULL,NULL,chivyin,1
NULL,NULL,chloral,2
chocolate,1,NULL,NULL
NULL,NULL,choice,4
NULL,NULL,choke,3
chokes,1,NULL,NULL
NULL,NULL,choking,3
NULL,NULL,choky,1
cholmondeley,1,NULL,NULL
NULL,NULL,chooses,1
NULL,NULL,choosing,1
NULL,NULL,chop,1
NULL,NULL,choppy,1
NULL,NULL,chopsticks,1
NULL,NULL,chord,1
NULL,NULL,chorus,2
NULL,NULL,christian,1
christmas,3,NULL,NULL
NULL,NULL,chronological,2
NULL,NULL,chruchyard,1
chrysoprase,1,NULL,NULL
chubby,2,NULL,NULL
chuckling,1,NULL,NULL
NULL,NULL,chucks,1
NULL,NULL,chunk,1
NULL,NULL,churchman,1
NULL,NULL,churchyard,28
NULL,NULL,churning,1
NULL,NULL,cicatrised,1
NULL,NULL,cigar,3
NULL,NULL,cigarette,1
NULL,NULL,cigars,2
NULL,NULL,cike,1
NULL,NULL,circled,1
NULL,NULL,circles,1
NULL,NULL,circling,3
NULL,NULL,circular,1
NULL,NULL,circumstance,1
NULL,NULL,circus,1
NULL,NULL,civilian,1
NULL,NULL,civilly,1
NULL,NULL,claim,5
NULL,NULL,claimed,2
NULL,NULL,claims,1
NULL,NULL,clammy,1
clamoring,1,NULL,NULL
NULL,NULL,clamped,2
NULL,NULL,clamps,1
NULL,NULL,clang,1
NULL,NULL,clanged,1
NULL,NULL,clanging,1
NULL,NULL,clanking,1
NULL,NULL,clap,1
clapped,1,NULL,NULL
clapping,1,NULL,NULL
clarence,7,NULL,NULL
NULL,NULL,clarion,1
clarions,1,NULL,NULL
NULL,NULL,clasp,3
clasping,1,NULL,NULL
NULL,NULL,classification,1
NULL,NULL,classify,1
NULL,NULL,clatter,1
claude,1,NULL,NULL
NULL,NULL,claw,1
NULL,NULL,clawed,1
NULL,NULL,clay,3
cleaned,1,NULL,NULL
cleaner,2,NULL,NULL
NULL,NULL,cleanse,1
NULL,NULL,cleanshaven,1
NULL,NULL,clearin,1
NULL,NULL,clears,2
NULL,NULL,cleave,1
NULL,NULL,cleft,1
NULL,NULL,clegs,1
clenched,1,NULL,NULL
clenching,1,NULL,NULL
NULL,NULL,clerk,5
cleverness,1,NULL,NULL
NULL,NULL,client,2
NULL,NULL,clients,3
NULL,NULL,cliff,23
NULL,NULL,cliffs,4
climate,1,NULL,NULL
NULL,NULL,cling,1
NULL,NULL,clog,1
NULL,NULL,closes,2
closeted,1,NULL,NULL
NULL,NULL,clot,1
cloth,2,NULL,NULL
clothed,1,NULL,NULL
NULL,NULL,clouded,1
NULL,NULL,cloudiness,1
NULL,NULL,cloudy,1
NULL,NULL,clump,2
NULL,NULL,clumps,1
NULL,NULL,clumsiness,1
NULL,NULL,clumsy,2
NULL,NULL,cluster,1
NULL,NULL,clustered,1
NULL,NULL,clusters,1
NULL,NULL,clutch,1
NULL,NULL,clutching,1
NULL,NULL,co,4
NULL,NULL,coach,12
NULL,NULL,coachman,3
coals,3,NULL,NULL
NULL,NULL,coarse,1
NULL,NULL,coast,4
NULL,NULL,coastguard,8
NULL,NULL,coastguards,2
NULL,NULL,coasting,1
coaxing,7,NULL,NULL
coaxingly,1,NULL,NULL
NULL,NULL,cobble,1
NULL,NULL,cock,3
NULL,NULL,cockcrow,1
cockroach,1,NULL,NULL
cockroaches,1,NULL,NULL
coconut,1,NULL,NULL
coconuts,1,NULL,NULL
NULL,NULL,coevals,1
NULL,NULL,coffee,3
NULL,NULL,coffin,40
NULL,NULL,coffined,1
NULL,NULL,coffins,2
NULL,NULL,coherent,1
NULL,NULL,coherently,1
NULL,NULL,coils,1
NULL,NULL,coin,1
NULL,NULL,coincidence,1
coldest,1,NULL,NULL
coldly,2,NULL,NULL
coldness,3,NULL,NULL
coleridge,1,NULL,NULL
NULL,NULL,collapse,4
collars,1,NULL,NULL
collected,1,NULL,NULL
NULL,NULL,collecting,1
NULL,NULL,collision,1
colonel,1,NULL,NULL
NULL,NULL,colony,1
colored,8,NULL,NULL
NULL,NULL,colossal,1
NULL,NULL,colour,3
NULL,NULL,coloured,3
NULL,NULL,colours,2
NULL,NULL,column,1
NULL,NULL,columns,1
NULL,NULL,coma,1
NULL,NULL,comatose,1
NULL,NULL,comb,1
NULL,NULL,combination,4
NULL,NULL,combinations,1
combined,6,NULL,NULL
NULL,NULL,comedy,1
NULL,NULL,comers,1
comforters,1,NULL,NULL
comfortingly,1,NULL,NULL
NULL,NULL,comic,1
NULL,NULL,comically,1
NULL,NULL,commanding,3
comme,1,NULL,NULL
NULL,NULL,commence,1
NULL,NULL,commenced,1
commented,2,NULL,NULL
NULL,NULL,commercial,1
commissions,1,NULL,NULL
NULL,NULL,committed,2
NULL,NULL,committee,1
NULL,NULL,commonly,1
NULL,NULL,communication,2
NULL,NULL,communicative,1
NULL,NULL,community,1
NULL,NULL,compact,1
NULL,NULL,companionship,1
NULL,NULL,companionway,1
NULL,NULL,company,5
NULL,NULL,comparative,2
NULL,NULL,comparatively,1
NULL,NULL,compare,2
NULL,NULL,compared,3
NULL,NULL,comparing,1
NULL,NULL,compel,3
NULL,NULL,compels,1
complacent,1,NULL,NULL
complain,1,NULL,NULL
NULL,NULL,complained,1
NULL,NULL,complains,1
complaints,1,NULL,NULL
NULL,NULL,complete,17
NULL,NULL,completed,5
NULL,NULL,completest,1
NULL,NULL,completion,1
NULL,NULL,complexion,1
NULL,NULL,compliance,1
complicated,1,NULL,NULL
NULL,NULL,complications,1
NULL,NULL,compliment,1
NULL,NULL,comprehensive,1
NULL,NULL,compunction,1
comrade,1,NULL,NULL
concealing,1,NULL,NULL
NULL,NULL,concealment,5
NULL,NULL,concealments,1
NULL,NULL,conceivable,1
NULL,NULL,conceive,1
NULL,NULL,concentrated,3
NULL,NULL,concentration,3
NULL,NULL,concerned,8
NULL,NULL,concerns,1
NULL,NULL,concession,1
conclude,1,NULL,NULL
NULL,NULL,concluded,1
NULL,NULL,conclusions,5
NULL,NULL,concrete,1
NULL,NULL,concussion,2
NULL,NULL,condemn,2
NULL,NULL,condescend,2
NULL,NULL,conditions,6
NULL,NULL,conductor,1
NULL,NULL,confer,2
NULL,NULL,conferences,1
NULL,NULL,confess,2
NULL,NULL,confide,1
NULL,NULL,confided,3
NULL,NULL,confident,1
NULL,NULL,confidential,1
confidentially,1,NULL,NULL
NULL,NULL,confine,2
NULL,NULL,confined,4
NULL,NULL,confines,1
NULL,NULL,confirmation,2
NULL,NULL,confirmed,1
confronted,2,NULL,NULL
confronting,1,NULL,NULL
NULL,NULL,confuse,1
NULL,NULL,confused,2
NULL,NULL,confusion,1
NULL,NULL,congealed,1
NULL,NULL,congenitally,1
NULL,NULL,conjecture,1
NULL,NULL,conjointly,1
conjugations,1,NULL,NULL
NULL,NULL,conjunction,1
NULL,NULL,conquered,1
NULL,NULL,conquering,1
NULL,NULL,conqueror,1
NULL,NULL,conquistadores,1
NULL,NULL,consate,1
NULL,NULL,consated,1
NULL,NULL,conscience,4
NULL,NULL,conscious,11
NULL,NULL,consensus,1
NULL,NULL,consent,5
NULL,NULL,consented,2
NULL,NULL,consequence,2
NULL,NULL,consequences,1
NULL,NULL,consequent,2
NULL,NULL,consider,5
NULL,NULL,considerable,10
NULL,NULL,considerably,1
NULL,NULL,considerate,1
NULL,NULL,considerations,2
NULL,NULL,considering,1
NULL,NULL,consigned,2
NULL,NULL,consignee,1
NULL,NULL,consigning,1
NULL,NULL,consignment,2
NULL,NULL,consignments,1
NULL,NULL,consolation,3
console,3,NULL,NULL
consoled,3,NULL,NULL
NULL,NULL,conspicuously,1
NULL,NULL,constitutional,1
NULL,NULL,constrained,1
NULL,NULL,constraint,1
NULL,NULL,consul,9
NULL,NULL,consulate,1
NULL,NULL,consult,9
NULL,NULL,consultation,1
NULL,NULL,consulted,4
NULL,NULL,consulting,2
NULL,NULL,consume,1
NULL,NULL,consumed,1
NULL,NULL,consuming,2
NULL,NULL,cont,5
NULL,NULL,contact,2
NULL,NULL,contain,4
NULL,NULL,contains,1
NULL,NULL,contemplate,1
NULL,NULL,contemplated,1
NULL,NULL,contempt,2
NULL,NULL,contemptuous,2
NULL,NULL,contend,1
NULL,NULL,content,8
NULL,NULL,contented,4
contentedly,1,NULL,NULL
contested,1,NULL,NULL
NULL,NULL,contingencies,1
NULL,NULL,contingent,1
continually,2,NULL,NULL
NULL,NULL,continuity,1
NULL,NULL,continuous,2
continuously,1,NULL,NULL
NULL,NULL,contract,1
NULL,NULL,contradict,1
contradictory,1,NULL,NULL
NULL,NULL,contrast,1
NULL,NULL,contravention,1
NULL,NULL,controlling,1
convenience,2,NULL,NULL
conveniences,1,NULL,NULL
NULL,NULL,conveniently,1
NULL,NULL,conventional,2
convents,1,NULL,NULL
NULL,NULL,converge,1
NULL,NULL,converged,1
NULL,NULL,converging,1
NULL,NULL,conversations,1
NULL,NULL,convey,2
NULL,NULL,conveyance,1
NULL,NULL,conveyed,2
NULL,NULL,conveying,2
convicting,1,NULL,NULL
NULL,NULL,convince,1
NULL,NULL,convinced,5
NULL,NULL,convulsed,2
convulsive,1,NULL,NULL
NULL,NULL,convulsively,2
NULL,NULL,cool,6
NULL,NULL,copied,4
NULL,NULL,copies,2
NULL,NULL,copy,9
NULL,NULL,coquetry,1
NULL,NULL,coquettishly,1
NULL,NULL,corcoran,2
NULL,NULL,cord,1
NULL,NULL,cordage,1
NULL,NULL,cords,2
NULL,NULL,core,1
NULL,NULL,corked,1
NULL,NULL,cormorant,1
NULL,NULL,corn,7
NULL,NULL,coroner,2
NULL,NULL,corporeal,2
NULL,NULL,corpse,6
correctly,1,NULL,NULL
NULL,NULL,correspondence,1
NULL,NULL,correspondent,7
NULL,NULL,corroborated,1
NULL,NULL,corrupt,1
NULL,NULL,corruption,2
NULL,NULL,cort,1
NULL,NULL,cortege,1
cos,1,NULL,NULL
cost,1,NULL,NULL
NULL,NULL,costliest,1
costly,1,NULL,NULL
costume,1,NULL,NULL
NULL,NULL,cottages,1
NULL,NULL,coughed,1
NULL,NULL,council,2
NULL,NULL,counsel,4
NULL,NULL,counsels,2
NULL,NULL,counteractant,1
NULL,NULL,countermand,1
NULL,NULL,countermining,1
NULL,NULL,counterpane,1
counters,1,NULL,NULL
NULL,NULL,counting,2
NULL,NULL,countless,1
NULL,NULL,countries,2
NULL,NULL,county,1
NULL,NULL,coup,1
NULL,NULL,couple,7
courageously,1,NULL,NULL
NULL,NULL,court,8
NULL,NULL,courteous,7
NULL,NULL,courteously,1
NULL,NULL,courtesy,5
NULL,NULL,courtliness,1
NULL,NULL,courtly,5
NULL,NULL,courtyard,10
NULL,NULL,coutts,1
coverings,2,NULL,NULL
covin,1,NULL,NULL
NULL,NULL,cow,1
NULL,NULL,coward,2
NULL,NULL,cowards,1
NULL,NULL,cower,1
NULL,NULL,cowered,5
NULL,NULL,cowering,1
NULL,NULL,cows,2
NULL,NULL,cracked,3
NULL,NULL,cracking,1
NULL,NULL,crackle,1
NULL,NULL,cracks,2
NULL,NULL,craft,2
NULL,NULL,crags,1
cram,1,NULL,NULL
crammed,2,NULL,NULL
NULL,NULL,crammle,1
NULL,NULL,craning,1
NULL,NULL,crannies,2
NULL,NULL,cranny,1
NULL,NULL,crants,1
NULL,NULL,crash,5
NULL,NULL,crashed,1
NULL,NULL,crashing,1
NULL,NULL,crave,1
NULL,NULL,craving,1
NULL,NULL,crawl,2
NULL,NULL,crazy,1
NULL,NULL,creak,4
NULL,NULL,creaked,1
NULL,NULL,creaking,8
NULL,NULL,creaky,1
NULL,NULL,create,3
NULL,NULL,created,1
NULL,NULL,creation,2
NULL,NULL,creatures,1
NULL,NULL,credentials,1
NULL,NULL,creed,1
creeps,1,NULL,NULL
NULL,NULL,crescent,6
NULL,NULL,crest,1
NULL,NULL,crevices,2
NULL,NULL,crew,11
crewe,65,NULL,NULL
cricket,1,NULL,NULL
NULL,NULL,cricketing,1
NULL,NULL,cries,3
NULL,NULL,crime,5
NULL,NULL,criminal,9
NULL,NULL,criminals,1
NULL,NULL,cringing,2
NULL,NULL,crisis,1
NULL,NULL,crisp,1
cristo,1,NULL,NULL
critical,1,NULL,NULL
NULL,NULL,critically,1
NULL,NULL,criticism,1
crockery,1,NULL,NULL
NULL,NULL,cronies,2
NULL,NULL,crooked,1
crooned,1,NULL,NULL
NULL,NULL,crop,1
NULL,NULL,crosses,1
crotchety,1,NULL,NULL
NULL,NULL,crowned,1
NULL,NULL,crows,2
NULL,NULL,crucifix,19
NULL,NULL,crucifixes,1
NULL,NULL,cruelly,1
NULL,NULL,cruelty,2
crumb,6,NULL,NULL
NULL,NULL,crumble,1
NULL,NULL,crumbled,2
NULL,NULL,crushable,1
NULL,NULL,crushed,4
crusts,1,NULL,NULL
NULL,NULL,crux,1
crystal,1,NULL,NULL
NULL,NULL,cszeks,2
cuddled,2,NULL,NULL
cuddling,2,NULL,NULL
NULL,NULL,cudgelling,1
culprit,2,NULL,NULL
NULL,NULL,culverin,1
NULL,NULL,cum,1
NULL,NULL,cumbrous,1
NULL,NULL,cumulative,1
NULL,NULL,cunning,11
cups,2,NULL,NULL
NULL,NULL,curate,1
NULL,NULL,curates,1
NULL,NULL,cure,3
NULL,NULL,cured,2
NULL,NULL,cures,1
curiously,6,NULL,NULL
curled,5,NULL,NULL
curling,3,NULL,NULL
currant,1,NULL,NULL
NULL,NULL,currency,1
NULL,NULL,current,1
NULL,NULL,curse,4
NULL,NULL,cursed,3
NULL,NULL,curses,1
NULL,NULL,cursory,1
NULL,NULL,curtainless,1
curtsied,1,NULL,NULL
curtsies,2,NULL,NULL
curtsy,4,NULL,NULL
NULL,NULL,curve,4
NULL,NULL,curved,1
NULL,NULL,curves,1
cushion,1,NULL,NULL
cushions,6,NULL,NULL
NULL,NULL,cussin,1
NULL,NULL,customary,1
customers,1,NULL,NULL
NULL,NULL,customs,9
NULL,NULL,cutaneous,1
NULL,NULL,cuts,1
NULL,NULL,cuttin,1
NULL,NULL,cutting,2
NULL,NULL,cuttings,1
NULL,NULL,cylinder,2
NULL,NULL,cylinders,5
NULL,NULL,cypress,1
czar,1,NULL,NULL
NULL,NULL,czarina,17
NULL,NULL,dacians,1
NULL,NULL,dad,1
daddy,2,NULL,NULL
NULL,NULL,daffled,1
NULL,NULL,daily,5
NULL,NULL,dailygraph,2
NULL,NULL,dainty,1
NULL,NULL,dam,2
NULL,NULL,damages,1
NULL,NULL,dame,1
NULL,NULL,damn,1
NULL,NULL,damned,1
NULL,NULL,damply,1
damsels,1,NULL,NULL
dancing,10,NULL,NULL
NULL,NULL,danes,1
NULL,NULL,dangerously,1
NULL,NULL,dangers,4
dangling,1,NULL,NULL
NULL,NULL,dank,4
NULL,NULL,danube,10
NULL,NULL,dardanelles,5
NULL,NULL,dares,2
NULL,NULL,daresay,4
NULL,NULL,darken,1
NULL,NULL,darkly,2
NULL,NULL,darknesses,1
darted,3,NULL,NULL
darting,2,NULL,NULL
NULL,NULL,darts,1
NULL,NULL,dash,1
NULL,NULL,dashed,6
NULL,NULL,dashing,3
dass,60,NULL,NULL
dassn,1,NULL,NULL
NULL,NULL,data,2
NULL,NULL,date,4
NULL,NULL,dated,2
NULL,NULL,dates,5
NULL,NULL,daubed,1
daughters,1,NULL,NULL
NULL,NULL,dawdle,1
NULL,NULL,dawn,27
NULL,NULL,dawned,1
dawning,1,NULL,NULL
daybreak,1,NULL,NULL
NULL,NULL,daytime,3
NULL,NULL,dazed,5
NULL,NULL,dazzled,3
dazzling,1,NULL,NULL
NULL,NULL,deadening,1
NULL,NULL,deadly,10
NULL,NULL,deads,1
NULL,NULL,dealings,1
NULL,NULL,dealt,1
NULL,NULL,dearly,1
NULL,NULL,dears,1
NULL,NULL,deary,3
NULL,NULL,deathly,4
NULL,NULL,deathtrap,1
NULL,NULL,debased,1
NULL,NULL,debauch,1
NULL,NULL,decanter,5
NULL,NULL,decay,3
NULL,NULL,decease,1
deceitful,1,NULL,NULL
NULL,NULL,deceive,9
NULL,NULL,deceived,5
NULL,NULL,decide,6
NULL,NULL,decision,3
decked,1,NULL,NULL
NULL,NULL,deckhouse,1
NULL,NULL,declared,1
NULL,NULL,decoction,1
decorated,3,NULL,NULL
decorous,1,NULL,NULL
NULL,NULL,decoyed,1
NULL,NULL,deed,1
NULL,NULL,deeds,5
NULL,NULL,deem,3
NULL,NULL,deemed,1
NULL,NULL,deepened,2
NULL,NULL,deeper,6
NULL,NULL,deepest,1
NULL,NULL,deer,1
NULL,NULL,defame,1
NULL,NULL,default,1
NULL,NULL,defeat,4
NULL,NULL,defect,1
defending,1,NULL,NULL
NULL,NULL,deference,1
defiance,2,NULL,NULL
NULL,NULL,defibrinate,1
NULL,NULL,deficiencies,1
NULL,NULL,defined,1
NULL,NULL,deftly,1
NULL,NULL,defy,1
NULL,NULL,degree,5
NULL,NULL,degrees,1
NULL,NULL,deign,2
NULL,NULL,deil,5
NULL,NULL,deity,1
dejected,1,NULL,NULL
NULL,NULL,delayed,4
NULL,NULL,delays,2
NULL,NULL,delegated,1
NULL,NULL,deliberate,1
NULL,NULL,deliberately,2
NULL,NULL,deliberations,1
NULL,NULL,delicacy,1
delicately,3,NULL,NULL
deliciously,1,NULL,NULL
delightfully,2,NULL,NULL
delights,3,NULL,NULL
delirious,2,NULL,NULL
NULL,NULL,delivered,6
NULL,NULL,delivery,3
NULL,NULL,delusion,2
NULL,NULL,demand,1
demanded,9,NULL,NULL
NULL,NULL,demeanor,1
NULL,NULL,demeter,4
NULL,NULL,demon,2
NULL,NULL,demoniac,1
NULL,NULL,demons,3
NULL,NULL,demonstrative,1
NULL,NULL,demoralise,1
NULL,NULL,demoralised,1
NULL,NULL,demurely,1
NULL,NULL,demurred,2
NULL,NULL,den,1
NULL,NULL,denial,1
NULL,NULL,denn,1
denote,1,NULL,NULL
NULL,NULL,dense,1
NULL,NULL,dents,2
NULL,NULL,deny,1
denying,1,NULL,NULL
NULL,NULL,depart,1
NULL,NULL,departed,4
NULL,NULL,department,1
NULL,NULL,departments,1
NULL,NULL,departure,1
NULL,NULL,depend,2
depict,1,NULL,NULL
NULL,NULL,depite,2
NULL,NULL,depity,1
NULL,NULL,deplored,1
NULL,NULL,deposit,1
NULL,NULL,deposited,2
NULL,NULL,depression,1
deprivation,1,NULL,NULL
deprived,1,NULL,NULL
NULL,NULL,depriving,1
NULL,NULL,depth,4
NULL,NULL,depths,2
NULL,NULL,deputy,1
NULL,NULL,derby,1
NULL,NULL,derelict,4
deriding,1,NULL,NULL
NULL,NULL,derogatory,1
NULL,NULL,descend,2
NULL,NULL,descendants,1
NULL,NULL,descending,1
NULL,NULL,descends,1
NULL,NULL,descent,1
NULL,NULL,describe,7
describing,1,NULL,NULL
NULL,NULL,descriptions,1
NULL,NULL,descriptive,1
NULL,NULL,desdemona,1
NULL,NULL,desecrate,1
NULL,NULL,desecration,2
deserting,1,NULL,NULL
NULL,NULL,deserts,1
NULL,NULL,design,2
NULL,NULL,designate,1
desirable,2,NULL,NULL
NULL,NULL,desires,1
desirous,1,NULL,NULL
desk,7,NULL,NULL
desks,2,NULL,NULL
desolateness,2,NULL,NULL
NULL,NULL,despairing,5
NULL,NULL,despairingly,1
NULL,NULL,despatched,1
NULL,NULL,desperately,2
NULL,NULL,despicable,1
NULL,NULL,despise,1
despised,1,NULL,NULL
NULL,NULL,despises,1
NULL,NULL,despite,2
NULL,NULL,despondently,1
NULL,NULL,dessay,1
NULL,NULL,destinate,1
NULL,NULL,destinations,1
NULL,NULL,destined,1
NULL,NULL,destiny,2
NULL,NULL,destroy,18
NULL,NULL,destroyed,8
NULL,NULL,destroying,2
NULL,NULL,destruction,5
NULL,NULL,details,11
NULL,NULL,detain,1
NULL,NULL,detained,2
NULL,NULL,detect,2
NULL,NULL,determination,3
detestable,2,NULL,NULL
NULL,NULL,detrimentally,1
NULL,NULL,deux,1
developing,1,NULL,NULL
NULL,NULL,development,2
NULL,NULL,deviate,1
NULL,NULL,device,2
NULL,NULL,devil,15
NULL,NULL,devilish,2
NULL,NULL,devils,6
NULL,NULL,devotedly,1
devoting,1,NULL,NULL
NULL,NULL,devotion,7
devour,1,NULL,NULL
devoured,1,NULL,NULL
NULL,NULL,diabolic,1
NULL,NULL,diabolical,6
NULL,NULL,diabolically,1
NULL,NULL,diagnosed,1
NULL,NULL,diagnosis,1
NULL,NULL,diagrams,1
NULL,NULL,dialect,1
diamonds,8,NULL,NULL
diaphanous,1,NULL,NULL
NULL,NULL,diaries,8
NULL,NULL,diary,99
NULL,NULL,dictation,1
NULL,NULL,dictatorial,1
NULL,NULL,dictionary,1
NULL,NULL,dictu,1
NULL,NULL,dies,3
NULL,NULL,diet,1
NULL,NULL,differ,1
NULL,NULL,differentiate,1
NULL,NULL,difficulties,4
NULL,NULL,diffuse,2
NULL,NULL,dig,1
NULL,NULL,digital,1
dignified,4,NULL,NULL
NULL,NULL,digression,1
NULL,NULL,dilapidated,1
NULL,NULL,dilemma,1
NULL,NULL,diligence,3
NULL,NULL,dim,13
NULL,NULL,diminished,2
NULL,NULL,diminshed,1
NULL,NULL,dimly,2
NULL,NULL,dimness,1
dimples,2,NULL,NULL
NULL,NULL,dine,2
NULL,NULL,dined,7
dingy,9,NULL,NULL
NULL,NULL,dining,13
dinners,1,NULL,NULL
NULL,NULL,dint,1
NULL,NULL,diorama,1
NULL,NULL,dip,1
NULL,NULL,dipped,5
NULL,NULL,dipping,1
NULL,NULL,dire,1
NULL,NULL,direct,4
NULL,NULL,directed,9
NULL,NULL,directing,1
NULL,NULL,directory,2
NULL,NULL,direst,1
NULL,NULL,disagrees,1
NULL,NULL,disappear,4
NULL,NULL,disappearance,1
NULL,NULL,disappears,1
disappointments,1,NULL,NULL
disapproval,1,NULL,NULL
disapproving,1,NULL,NULL
disapprovingly,1,NULL,NULL
NULL,NULL,disarray,1
NULL,NULL,disassociated,1
NULL,NULL,disbelief,1
NULL,NULL,disbelieve,1
NULL,NULL,disc,2
discarded,1,NULL,NULL
NULL,NULL,discharge,1
NULL,NULL,discharged,2
NULL,NULL,dischord,1
NULL,NULL,disclose,2
NULL,NULL,discolored,1
discomforts,2,NULL,NULL
NULL,NULL,disconcert,1
disconsolately,2,NULL,NULL
NULL,NULL,discontent,1
discouraged,1,NULL,NULL
NULL,NULL,discourse,1
NULL,NULL,discovering,1
NULL,NULL,discreetly,2
NULL,NULL,discretion,1
NULL,NULL,discussed,3
discussions,1,NULL,NULL
disdained,2,NULL,NULL
disdainful,1,NULL,NULL
NULL,NULL,disease,9
NULL,NULL,diseases,3
NULL,NULL,disfavour,1
NULL,NULL,disgorged,1
disgrace,6,NULL,NULL
disgraced,1,NULL,NULL
NULL,NULL,disguised,1
NULL,NULL,disgust,1
NULL,NULL,disgusted,1
dishes,5,NULL,NULL
NULL,NULL,dishevelled,1
dishonest,1,NULL,NULL
NULL,NULL,dishonor,5
NULL,NULL,dishonour,1
NULL,NULL,dishonourable,1
disliked,5,NULL,NULL
dismal,1,NULL,NULL
